WAVELGNTH,RL,RM1 Envel,w/ RM1,RM2 Envel,w/ RM2,RH1 Envel,w/ RH1,RH2 Envel,w/ RH2,RH3 Envel,w/ RH3,RH4 Envel,w/ RH4
660,0.422,0.980,0.393,0.648,0.260,0.373,0.131,0.766,0.269,0.446,0.156,0.530,0.186
661,0.422,0.980,0.394,0.651,0.261,0.364,0.128,0.769,0.270,0.445,0.157,0.531,0.187
662,0.423,0.979,0.394,0.654,0.263,0.355,0.125,0.773,0.272,0.445,0.157,0.532,0.187
663,0.424,0.979,0.394,0.657,0.265,0.347,0.122,0.776,0.273,0.445,0.157,0.533,0.188
664,0.424,0.979,0.394,0.660,0.266,0.339,0.120,0.779,0.275,0.445,0.157,0.534,0.188
665,0.425,0.979,0.394,0.664,0.267,0.331,0.117,0.782,0.276,0.445,0.157,0.535,0.188
666,0.425,0.978,0.394,0.667,0.269,0.323,0.114,0.785,0.277,0.444,0.157,0.535,0.189
667,0.426,0.978,0.395,0.670,0.271,0.315,0.111,0.789,0.279,0.444,0.157,0.536,0.189
668,0.428,0.978,0.396,0.673,0.273,0.307,0.109,0.792,0.281,0.444,0.158,0.536,0.190
669,0.430,0.977,0.398,0.676,0.275,0.299,0.106,0.795,0.283,0.444,0.158,0.537,0.191
670,0.431,0.977,0.399,0.679,0.277,0.290,0.104,0.798,0.285,0.445,0.159,0.537,0.192
671,0.433,0.977,0.400,0.682,0.280,0.282,0.101,0.801,0.287,0.445,0.159,0.538,0.193
672,0.433,0.976,0.400,0.685,0.281,0.272,0.098,0.804,0.288,0.445,0.159,0.538,0.193
673,0.433,0.976,0.400,0.688,0.282,0.263,0.094,0.806,0.289,0.445,0.160,0.538,0.193
674,0.433,0.976,0.400,0.691,0.283,0.253,0.091,0.809,0.290,0.445,0.160,0.539,0.193
675,0.434,0.975,0.400,0.694,0.285,0.243,0.087,0.812,0.291,0.446,0.160,0.539,0.193
676,0.434,0.975,0.400,0.697,0.286,0.232,0.083,0.815,0.292,0.446,0.160,0.539,0.193
677,0.434,0.974,0.400,0.700,0.287,0.221,0.079,0.817,0.293,0.446,0.160,0.539,0.194
678,0.435,0.974,0.400,0.703,0.289,0.210,0.075,0.820,0.295,0.447,0.161,0.539,0.194
679,0.435,0.974,0.400,0.706,0.290,0.198,0.071,0.822,0.296,0.447,0.161,0.539,0.194
680,0.436,0.973,0.401,0.709,0.292,0.186,0.067,0.825,0.297,0.448,0.161,0.539,0.194
681,0.437,0.973,0.401,0.712,0.294,0.174,0.063,0.827,0.299,0.449,0.162,0.539,0.195
682,0.438,0.972,0.402,0.715,0.296,0.162,0.059,0.830,0.300,0.449,0.163,0.539,0.195
683,0.439,0.972,0.403,0.718,0.297,0.150,0.054,0.832,0.302,0.450,0.163,0.539,0.195
684,0.440,0.971,0.403,0.720,0.299,0.138,0.050,0.835,0.303,0.451,0.164,0.539,0.195
685,0.440,0.971,0.403,0.723,0.300,0.126,0.046,0.837,0.304,0.452,0.164,0.538,0.195
686,0.440,0.970,0.403,0.726,0.301,0.114,0.042,0.839,0.305,0.452,0.164,0.538,0.195
687,0.440,0.970,0.403,0.729,0.303,0.103,0.037,0.841,0.305,0.453,0.165,0.538,0.195
688,0.441,0.969,0.403,0.732,0.304,0.092,0.033,0.843,0.306,0.454,0.165,0.537,0.195
689,0.441,0.969,0.403,0.734,0.305,0.082,0.030,0.845,0.308,0.455,0.166,0.537,0.195
690,0.442,0.968,0.403,0.737,0.307,0.072,0.026,0.847,0.308,0.456,0.166,0.536,0.195
691,0.442,0.968,0.403,0.740,0.308,0.063,0.023,0.849,0.309,0.457,0.167,0.536,0.195
692,0.442,0.967,0.403,0.742,0.309,0.054,0.020,0.851,0.310,0.459,0.167,0.535,0.195
693,0.443,0.967,0.403,0.745,0.311,0.047,0.017,0.853,0.311,0.460,0.168,0.535,0.195
694,0.444,0.966,0.404,0.748,0.313,0.040,0.015,0.854,0.313,0.461,0.169,0.534,0.195
695,0.445,0.965,0.404,0.750,0.314,0.034,0.013,0.856,0.314,0.462,0.169,0.534,0.196
696,0.445,0.965,0.405,0.753,0.316,0.030,0.011,0.858,0.315,0.464,0.170,0.533,0.196
697,0.446,0.964,0.405,0.756,0.318,0.026,0.009,0.859,0.316,0.465,0.171,0.532,0.196
698,0.447,0.964,0.405,0.758,0.319,0.023,0.009,0.861,0.317,0.466,0.172,0.532,0.196
699,0.447,0.963,0.406,0.761,0.321,0.021,0.008,0.862,0.318,0.468,0.172,0.531,0.196
700,0.448,0.962,0.406,0.763,0.322,0.021,0.008,0.864,0.319,0.469,0.173,0.530,0.196
701,0.448,0.962,0.406,0.766,0.323,0.021,0.008,0.865,0.319,0.471,0.174,0.529,0.195
702,0.448,0.961,0.405,0.768,0.324,0.022,0.008,0.866,0.320,0.472,0.174,0.528,0.195
703,0.447,0.960,0.405,0.771,0.325,0.024,0.009,0.867,0.320,0.474,0.175,0.527,0.194
704,0.447,0.960,0.404,0.773,0.326,0.027,0.010,0.869,0.320,0.476,0.175,0.527,0.194
705,0.448,0.959,0.405,0.776,0.327,0.031,0.011,0.870,0.321,0.478,0.176,0.526,0.194
706,0.449,0.958,0.406,0.778,0.329,0.035,0.013,0.871,0.322,0.479,0.177,0.525,0.194
707,0.451,0.958,0.406,0.781,0.331,0.040,0.015,0.872,0.324,0.481,0.179,0.524,0.194
708,0.452,0.957,0.407,0.783,0.333,0.045,0.017,0.872,0.325,0.483,0.180,0.523,0.195
709,0.452,0.956,0.408,0.785,0.335,0.051,0.019,0.873,0.326,0.485,0.181,0.522,0.195
710,0.453,0.956,0.408,0.788,0.336,0.057,0.021,0.874,0.326,0.487,0.182,0.521,0.194
711,0.453,0.955,0.408,0.790,0.337,0.063,0.023,0.875,0.327,0.489,0.182,0.520,0.194
712,0.453,0.954,0.407,0.792,0.338,0.069,0.026,0.875,0.327,0.491,0.183,0.518,0.194
713,0.453,0.954,0.407,0.795,0.339,0.075,0.028,0.876,0.327,0.493,0.184,0.517,0.193
714,0.453,0.953,0.407,0.797,0.340,0.081,0.030,0.876,0.327,0.495,0.185,0.516,0.193
715,0.452,0.952,0.406,0.799,0.341,0.087,0.032,0.877,0.327,0.497,0.185,0.515,0.192
716,0.452,0.951,0.405,0.802,0.341,0.092,0.034,0.877,0.327,0.499,0.186,0.514,0.192
717,0.452,0.951,0.405,0.804,0.342,0.097,0.036,0.877,0.327,0.501,0.187,0.513,0.191
718,0.452,0.950,0.405,0.806,0.344,0.101,0.038,0.878,0.327,0.504,0.188,0.512,0.191
719,0.453,0.949,0.405,0.808,0.345,0.105,0.039,0.878,0.328,0.506,0.189,0.510,0.191
720,0.453,0.948,0.405,0.810,0.346,0.108,0.040,0.878,0.328,0.508,0.190,0.509,0.190
721,0.454,0.948,0.406,0.813,0.348,0.110,0.041,0.878,0.329,0.511,0.191,0.508,0.190
722,0.454,0.947,0.406,0.815,0.349,0.112,0.042,0.878,0.329,0.513,0.192,0.507,0.190
723,0.455,0.946,0.406,0.817,0.351,0.112,0.042,0.878,0.330,0.515,0.194,0.506,0.190
724,0.456,0.945,0.407,0.819,0.352,0.112,0.042,0.877,0.330,0.518,0.195,0.504,0.190
725,0.457,0.945,0.407,0.821,0.354,0.112,0.042,0.877,0.331,0.520,0.196,0.503,0.190
726,0.457,0.944,0.407,0.823,0.355,0.110,0.042,0.877,0.331,0.523,0.197,0.502,0.190
727,0.457,0.943,0.407,0.825,0.356,0.108,0.041,0.877,0.331,0.525,0.198,0.501,0.189
728,0.457,0.942,0.407,0.827,0.357,0.105,0.040,0.876,0.331,0.528,0.200,0.499,0.189
729,0.457,0.941,0.407,0.829,0.359,0.101,0.038,0.876,0.331,0.531,0.201,0.498,0.188
730,0.457,0.940,0.407,0.831,0.360,0.097,0.037,0.875,0.331,0.533,0.202,0.497,0.188
731,0.457,0.940,0.406,0.833,0.361,0.092,0.035,0.874,0.331,0.536,0.203,0.496,0.188
732,0.458,0.939,0.406,0.835,0.362,0.087,0.033,0.874,0.331,0.539,0.204,0.494,0.187
733,0.458,0.938,0.406,0.837,0.363,0.081,0.031,0.873,0.331,0.541,0.205,0.493,0.187
734,0.458,0.937,0.406,0.839,0.364,0.075,0.029,0.872,0.331,0.544,0.206,0.492,0.186
735,0.458,0.936,0.406,0.841,0.365,0.069,0.026,0.871,0.330,0.547,0.207,0.491,0.186
736,0.458,0.935,0.406,0.843,0.366,0.063,0.024,0.870,0.330,0.550,0.209,0.489,0.186
737,0.458,0.935,0.405,0.845,0.367,0.056,0.021,0.869,0.330,0.552,0.210,0.488,0.185
738,0.458,0.934,0.405,0.847,0.368,0.050,0.019,0.868,0.330,0.555,0.211,0.487,0.185
739,0.459,0.933,0.405,0.849,0.369,0.044,0.017,0.867,0.330,0.558,0.212,0.486,0.185
740,0.459,0.932,0.406,0.851,0.370,0.038,0.014,0.866,0.330,0.561,0.214,0.484,0.184
741,0.459,0.931,0.406,0.853,0.372,0.032,0.012,0.865,0.330,0.564,0.215,0.483,0.184
742,0.459,0.930,0.406,0.854,0.372,0.027,0.010,0.863,0.329,0.567,0.216,0.482,0.184
743,0.460,0.929,0.405,0.856,0.374,0.022,0.008,0.862,0.329,0.570,0.218,0.481,0.184
744,0.460,0.928,0.405,0.858,0.374,0.018,0.007,0.860,0.329,0.573,0.219,0.479,0.183
745,0.459,0.927,0.405,0.860,0.375,0.014,0.005,0.859,0.328,0.576,0.220,0.478,0.183
746,0.459,0.927,0.405,0.862,0.376,0.010,0.004,0.857,0.327,0.579,0.221,0.477,0.182
747,0.460,0.926,0.404,0.863,0.377,0.007,0.003,0.856,0.327,0.582,0.222,0.476,0.182
748,0.460,0.925,0.404,0.865,0.378,0.005,0.002,0.854,0.327,0.585,0.224,0.475,0.182
749,0.460,0.924,0.404,0.867,0.379,0.004,0.001,0.852,0.326,0.588,0.225,0.474,0.181
750,0.460,0.923,0.404,0.868,0.380,0.003,0.001,0.850,0.325,0.591,0.226,0.472,0.181
751,0.460,0.922,0.404,0.870,0.381,0.002,0.001,0.846,0.324,0.594,0.228,0.471,0.181
752,0.459,0.921,0.403,0.872,0.382,0.003,0.001,0.842,0.322,0.597,0.229,0.470,0.180
753,0.459,0.920,0.403,0.873,0.382,0.004,0.001,0.836,0.320,0.600,0.230,0.469,0.180
754,0.459,0.919,0.403,0.875,0.383,0.005,0.002,0.830,0.318,0.603,0.231,0.468,0.179
755,0.459,0.918,0.402,0.877,0.384,0.007,0.003,0.823,0.315,0.607,0.233,0.467,0.179
756,0.459,0.917,0.402,0.878,0.385,0.009,0.003,0.815,0.313,0.610,0.234,0.466,0.179
757,0.459,0.916,0.402,0.880,0.386,0.012,0.004,0.807,0.309,0.613,0.235,0.465,0.178
758,0.459,0.915,0.401,0.881,0.386,0.014,0.006,0.797,0.306,0.616,0.236,0.464,0.178
759,0.459,0.914,0.401,0.883,0.387,0.018,0.007,0.787,0.302,0.619,0.238,0.463,0.178
760,0.458,0.913,0.400,0.884,0.388,0.021,0.008,0.776,0.298,0.622,0.239,0.462,0.177
761,0.458,0.912,0.400,0.886,0.388,0.024,0.009,0.765,0.293,0.626,0.240,0.461,0.177
762,0.458,0.911,0.400,0.888,0.389,0.028,0.011,0.753,0.289,0.629,0.241,0.460,0.176
763,0.458,0.910,0.399,0.889,0.390,0.031,0.012,0.741,0.284,0.632,0.243,0.459,0.176
764,0.458,0.909,0.399,0.890,0.391,0.034,0.013,0.728,0.280,0.635,0.244,0.458,0.176
765,0.458,0.909,0.399,0.892,0.392,0.037,0.014,0.715,0.275,0.639,0.245,0.458,0.176
766,0.458,0.908,0.399,0.893,0.392,0.040,0.016,0.701,0.270,0.642,0.247,0.457,0.176
767,0.458,0.907,0.398,0.895,0.393,0.000,0.000,0.688,0.264,0.645,0.248,0.456,0.175
768,0.458,0.906,0.398,0.896,0.394,0.000,0.000,0.674,0.259,0.648,0.249,0.455,0.175
769,0.458,0.905,0.398,0.898,0.395,0.000,0.000,0.660,0.254,0.651,0.251,0.454,0.175
770,0.457,0.904,0.397,0.899,0.395,0.000,0.000,0.645,0.248,0.655,0.252,0.454,0.174
771,0.457,0.903,0.397,0.900,0.396,0.000,0.000,0.631,0.243,0.658,0.253,0.453,0.174
772,0.457,0.902,0.397,0.902,0.397,0.000,0.000,0.617,0.238,0.661,0.255,0.452,0.174
773,0.457,0.901,0.396,0.903,0.398,0.000,0.000,0.603,0.232,0.664,0.256,0.452,0.174
774,0.457,0.899,0.396,0.904,0.398,0.000,0.000,0.589,0.227,0.668,0.257,0.451,0.174
775,0.457,0.898,0.396,0.906,0.399,0.000,0.000,0.575,0.222,0.671,0.259,0.450,0.174
776,0.458,0.897,0.396,0.907,0.400,0.000,0.000,0.561,0.217,0.674,0.260,0.450,0.174
777,0.457,0.896,0.395,0.908,0.401,0.000,0.000,0.548,0.211,0.677,0.261,0.449,0.173
778,0.457,0.895,0.395,0.910,0.401,0.000,0.000,0.535,0.206,0.681,0.263,0.449,0.173
779,0.457,0.894,0.395,0.911,0.402,0.000,0.000,0.522,0.202,0.684,0.264,0.448,0.173
